2026-08-10T09:43:07.990520 - Poll 7: Status=ringing, TranscriptLen=0
2026-08-10T09:43:18.513275 - Poll 8: Status=ringing, TranscriptLen=0
2026-08-10T09:43:29.070384 - Poll 9: Status=busy, TranscriptLen=0
2026-08-10T09:44:27.933420 - Starting polling fallback for Execution 2249cc8c-69db-4cef-853b-2c34b9197e2d (Lead: call_1786355066820)
2026-08-10T09:44:38.421968 - Poll 0: Status=queued, TranscriptLen=0
2026-08-10T09:44:49.297990 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:45:00.192388 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-10T09:45:10.682890 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T09:56:14.062188 - Starting polling fallback for Execution 69ea186a-50b7-413e-89ad-517c2cde4b2a (Lead: call_1786355772347)
2026-08-10T09:56:24.817658 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:56:35.407336 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:56:45.922775 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T10:00:05.015354 - Starting polling fallback for Execution 41671e7d-9e2e-4b6b-ad12-78129dd557d0 (Lead: call_1786356003369)
2026-08-10T10:00:15.451703 - Poll 0: Status=queued, TranscriptLen=0
2026-08-10T10:00:26.143203 - Poll 1: Status=queued, TranscriptLen=0
2026-08-10T10:00:36.599888 - Poll 2: Status=queued, TranscriptLen=0
2026-08-10T10:00:47.195090 - Poll 3: Status=queued, TranscriptLen=0
2026-08-10T10:00:57.744628 - Poll 4: Status=queued, TranscriptLen=0
2026-08-10T10:01:08.305972 - Poll 5: Status=ringing, TranscriptLen=0
2026-08-10T10:01:18.942646 - Poll 6: Status=ringing, TranscriptLen=0
2026-08-10T10:01:29.504981 - Poll 7: Status=busy, TranscriptLen=0
2026-08-10T10:10:21.945731 - Starting polling fallback for Execution 07a91427-4760-498a-b334-ffbe2ee4f7f5 (Lead: call_1786356620647)
2026-08-10T10:10:32.550867 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T10:10:43.171995 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T10:10:53.923684 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T10:12:00.122867 - Starting polling fallback for Execution eae044e9-7d92-4d6f-a2cd-e6cc56f96e40 (Lead: call_1786356717415)
2026-08-10T10:12:10.746912 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T10:13:27.844298 - Poll 1: Status=busy, TranscriptLen=0
2026-08-10T10:20:45.369210 - Starting polling fallback for Execution 1ce1b785-fb85-432c-9146-764ab8b497dc (Lead: call_1786357244245)
2026-08-10T10:20:59.117819 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T10:21:09.784455 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T10:21:37.047959 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T10:22:33.331197 - Starting polling fallback for Execution eb6d0ed8-b30a-4edd-9427-bb7e3e7663b3 (Lead: call_1786357352311)
2026-08-10T10:22:43.897751 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T10:23:29.285050 - Poll 1: Status=busy, TranscriptLen=0
2026-08-10T10:24:40.069828 - Starting polling fallback for Execution be964be3-9101-484a-9c3f-44a1634e9b65 (Lead: call_1786357478975)
2026-08-10T10:24:42.471516 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T10:24:45.063642 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T10:24:47.487692 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-10T10:25:21.736737 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T10:26:23.201545 - Starting polling fallback for Execution dc0123db-305f-442b-b8ea-51310adc11c0 (Lead: call_1786357582263)
2026-08-10T10:26:25.684063 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T10:26:51.995621 - Poll 1: Status=in-progress, TranscriptLen=0
2026-08-10T10:26:55.012094 - Poll 2: Status=in-progress, TranscriptLen=0
2026-08-10T10:26:57.582912 - Poll 3: Status=in-progress, TranscriptLen=0
2026-08-10T10:27:00.193477 - Poll 4: Status=in-progress, TranscriptLen=0
2026-08-10T10:27:03.150689 - Poll 5: Status=in-progress, TranscriptLen=0
2026-08-10T10:27:06.767588 - Poll 6: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:09.357345 - Poll 7: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:11.769499 - Poll 8: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:14.354394 - Poll 9: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:16.767683 - Poll 10: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:19.249548 - Poll 11: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:21.797131 - Poll 12: Status=call-disconnected, TranscriptLen=451
2026-08-10T10:27:24.298026 - Poll 13: Status=completed, TranscriptLen=451
2026-08-10T10:47:01.311747 - Starting polling fallback for Execution 42dcbdc2-4294-438f-81c2-8cece19bcdae (Lead: call_1786358820026)
2026-08-10T10:47:03.773018 - Poll 0: Status=initiated, TranscriptLen=0
2026-08-10T10:47:06.415604 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T10:47:09.616133 - Poll 2: Status=in-progress, TranscriptLen=0
2026-08-10T10:47:46.346779 - Poll 3: Status=in-progress, TranscriptLen=0
2026-08-10T10:47:49.012155 - Poll 4: Status=in-progress, TranscriptLen=0
2026-08-10T10:47:51.512777 - Poll 5: Status=in-progress, TranscriptLen=0
2026-08-10T10:47:54.087662 - Poll 6: Status=in-progress, TranscriptLen=0
2026-08-10T10:47:56.576352 - Poll 7: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:03.374216 - Poll 8: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:05.932032 - Poll 9: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:08.574283 - Poll 10: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:11.221441 - Poll 11: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:13.843413 - Poll 12: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:16.628573 - Poll 13: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:19.394643 - Poll 14: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:22.037155 - Poll 15: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:24.623824 - Poll 16: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:33.735143 - Poll 17: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:36.364784 - Poll 18: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:38.927879 - Poll 19: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:41.581596 - Poll 20: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:44.086855 - Poll 21: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:46.658236 - Poll 22: Status=in-progress, TranscriptLen=0
2026-08-10T10:48:49.298945 - Poll 23: Status=in-progress, TranscriptLen=0
